street,streetid
10815 E Lake Joy Dr NE,1046
321 246th Way SE,1047
130 97th Ave NE,1048
11226 57th Ave S,1049
18600-18698 SE 259th Pl,1050
1020 15th Ave E,1051
3901 NE 5th Pl,1052
1740 216th Pl NE,1053
8537 135th Ave SE,1054
3821 39th Ave S,1055
9612-9618 Renton Ave S,1056
11125 115th Ave NE,1057
7913-7935 79th Way NE,1058
3 Ober Strasse,1059
1017 N 38th St,1060
29812 55th Pl S,1061
1122 Harding St,1062
10645 2nd Ave SW,1063
9215 NE 183rd St,1064
5558 W Mercer Way,1065
932 223rd Pl NE,1066
9412 24th Ave SW,1067
9753 NE 127th Pl,1068
31649-31799 44th Ave S,1069
5601-5605 21st Ave SW,1070
6521-6599 S Norfolk St,1071
440 8th Ave,1072
16200-16398 252nd Ave SE,1073
17510 194th Ave NE,1074
124 NE 63rd St,1075
8041-8299 Beacon Ave S,1076
29820 125th Pl SE,1077
4118 107th Pl NE,1078
24807 10th Ave S,1079
1018 S 226th St,1080
2458 S Ferdinand St,1081
23255 133rd Ave SE,1082
23902 231st Pl SE,1083
13600 NE 36th Pl,1084
9455 8th Ave SW,1085
24998 SE 155th Pl,1086
6907 Fairway Ave SE,1087
19300 142nd Pl SE,1088
2148 NW 197th St,1089
1816 Talbot Rd S,1090
7308 28th Ave SW,1091
26933 NE Union Hill Rd,1092
12432 16th Ave S,1093
1317 N 79th St,1094
19400-19498 23rd Ave NW,1095
945 N 80th St,1096
8020 NE 153rd Pl,1097
27728 SE 268th St,1098
3026 37th Ave SW,1099
767 Oakhurst Dr,1100
5155 54th Ave S,1101
2433 1st Ave N,1102
1032 NE 63rd St,1103
8410 NE 124th St,1104
5718 147th Ave NE,1105
16021 NE 203rd Pl,1106
10626 Kelly Rd NE,1107
206 Lingering Pine Dr NW,1108
8723 S 117th St,1109
26592 SE 15th St,1110
4375 279th Ave NE,1111
4231 SW 323rd St,1112
13031 NE 70th Dr,1113
23418 SE 282nd Pl,1114
14540 5th Ave NE,1115
9807 22nd Ave SW,1116
1106-1128 Lewis Ln SE,1117
24841 Redmond-Fall City Rd NE,1118
543 N 138th St,1119
142 11th St SE,1120
11221 NE 106th Pl,1121
13204 NE 45th St,1122
126th Ln NE,1123
23571-23613 NE Twinberry Way,1124
832 Summerhill Ridge Dr NW,1125
11283-11399 5th Ave SW,1126
1010 6th St W,1127
8090 Juanita Dr NE,1128
10022 NE 110th St,1129
1150 NE Park Dr,1130
933 N 97th St,1131
28030 185th Pl SE,1132
11201 SE 190th Pl,1133
11704 NE 41st St,1134
37316 W Lake Walker Dr SE,1135
19654 SE 260th St,1136
1645 219th Pl SE,1137
9410 Lake Washington Blvd NE,1138
108 NW 41st St,1139
14019 SE 61st Pl,1140
15523 187th Ave NE,1141
6619 147th Ct NE,1142
115 Blaine St,1143
3901 Park Ave N,1144
1814 1st Ave W,1145
547 NE 81st St,1146
20301 96th Ave S,1147
26905 NE Cherry St,1148
27318 10th Pl S,1149
303 SW 108th St,1150
9122 23rd Ave NE,1151
7202 California Ave SW,1152
555 Index Ave NE,1153
28764 Redondo Beach Dr S,1154
628 SW 136th St,1155
17040 426th Ave SE,1156
12036 23rd Ave S,1157
4338 SW 307th St,1158
11050 24th Pl SW,1159
5524 S Morgan St,1160
16204 SE 8th St,1161
32800 7th Ave SW,1162
10218 Aqua Way S,1163
1621 56th Ct SE,1164
15800 SE 50th St,1165
2646 168th Ave SE,1166
2306 S 284th Pl,1167
7057 S Lakeridge Dr,1168
12551 Roosevelt Way NE,1169
639 NW 52nd St,1170
4506 Lake Washington Blvd NE,1171
14405 105th Ave NE,1172
309 Hardie Ave NW,1173
5440 42nd Ave SW,1174
17026 426th Ave SE,1175
15243 NE 71st Ct,1176
4616 252nd Ave SE,1177
6527 41st Ave SW,1178
13904 24th Ave S,1179
1330 N Lucas Pl,1180
1015 36th Ave E,1181
2069 211th Ave NE,1182
16218 195th Pl NE,1183
8601-8633 26th Ave SW,1184
3210 NW 58th St,1185
29613-29615 232nd Ave SE,1186
14623 SE 82nd Ct,1187
18504 NE 21st St,1188
6042 Sycamore Ave NW,1189
2853 234th Ave SE,1190
34823 Rhododendron Dr SE,1191
2031 S Washington St,1192
137 18th Ave,1193
21013 NE 60th Pl,1194
3255 111th Ave SE,1195
1523 30th Ave S,1196
2432 267th Ct SE,1197
35650 30th Ave S,1198
22547 134th Pl SE,1199
3742 S 192nd St,1200
14007-14017 35th Ave NE,1201
2603 NE Davis Loop,1202
1500-1598 98th Ave NE,1203
709 N 94th St,1204
843 S Rose St,1205
8803 38th Ave S,1206
10741 242nd Pl NE,1207
8526 Nesbit Ave N,1208
1506 51st St NE,1209
1620 14th Ave,1210
2310 15th Ave S,1211
8030 18th Ave NW,1212
32215 E Rutherford St,1213
16810 SE 47th Way,1214
506 Harmony Ln,1215
4602 S Fletcher St,1216
1414 Magnolia Blvd W,1217
4632 141st Ct SE,1218
739 SW 337th St,1219
2552 57th Ave SW,1220
33023 SE 310th St,1221
313 Mt Baker Pl NE,1222
30557 55th Ave S,1223
15210 Mink Rd NE,1224
17421 SE Covington Sawyer Rd,1225
227 W Park St,1226
6008 8th Ave NE,1227
5906 44th Ave SW,1228
919 N 33rd St,1229
12701 2nd Ave SW,1230
7717 35th Ave NE,1231
7608 N Fork Rd SE,1232
17301 NE 131st St,1233
22922 NE 14th St,1234
15251 NE 6th St,1235
18318 Meridian Ave N,1236
2436 Dexter Ave N,1237
8639 36th Ave SW,1238
10526 157th Ave NE,1239
828 NE 83rd St,1240
14951 NE 204th St,1241
26007 SE 27th St,1242
427 N 63rd St,1243
14222 NE 80th Pl,1244
2726 Mayfair Ave N,1245
19516-19598 108th Ave SE,1246
2460 NE Park Dr,1247
16130 SE Newport Way,1248
28616 28th Pl S,1249
12721 83rd Ct NE,1250
1962 SW 172nd St,1251
3524 NW 67th St,1252
14500-14526 NE 61st St,1253
3126 108th Ave SE,1254
34422 176th Ave SE,1255
21659 SE 266th St,1256
2319 41st Ave SW,1257
9723 NE 15th St,1258
5002 Jasmine Ave SE,1259
4411 S 314th St,1260
6605-6609 141st Pl NE,1261
2758 68th Ave SE,1262
6729 Dibble Ave NW,1263
16220 8th Ave NE,1264
15216 SE 176th Pl,1265
37739 Auburn Enumclaw Rd SE,1266
749 Mountain View Pl SW,1267
6617 Beveridge Pl SW,1268
19933 NE 85th St,1269
7111 S Ryan St,1270
2333 12th Ave E,1271
6008 29th Ave NE,1272
1011 SW 118th St,1273
8930-9034 236th Ave NE,1274
1905 NE 29th Ct,1275
7532 44th Ave NE,1276
6621 S 131st Pl,1277
7705 13th Ave NW,1278
2086 Market St,1279
1709 NE 86th St,1280
825 NE 63rd St,1281
16032 SE 170th Pl,1282
11405 SE 229th St,1283
12115 SE 44th Pl,1284
11815 SE 56th St,1285
128 NW 59th St,1286
12413 84th Ave S,1287
8830 Midvale Ave N,1288
3002 SW Cycle Ct,1289
5410 Greenwood Ave N,1290
9245a Interlake Ave N,1291
1700 E Columbia St,1292
16803 426th Pl SE,1293
611 N 46th St,1294
4277 E Lake Sammamish Shore Ln SE,1295
29002 NE 3rd Way,1296
7550 Roosevelt Way NE,1297
23221 SE 242nd St,1298
3512 253rd Ct SE,1299
1121 48th Ct SE,1300
3113 SE 6th St,1301
34214 SE Carmichael St,1302
19454 SE 27th Pl,1303
18641 48th Pl S,1304
1168 Semanski St,1305
15017-15023 NE 144th St,1306
23620 SE 243rd Pl,1307
19584-19766 Meridian Ave N,1308
5403 23rd Ave SW,1309
19807 330th Ave NE,1310
16704 162nd Ave NE,1311
1743 NE 146th St,1312
11674 SE 189th Pl,1313
4804 S 378th St,1314
6601 NE 153rd Pl,1315
3169 NE 85th St,1316
5149 S Graham St,1317
6015 5th Ave NW,1318
11716 16th Ave NE,1319
11709 3rd Ave NW,1320
10710 Lake City Way NE,1321
18504 57th Ave NE,1322
19141 1st Ave NW,1323
3438-3474 S Charles St,1324
3220 19th Ave S,1325
4640 193rd Ave SE,1326
11009 SE 220th Pl,1327
13607 128th Ave NE,1328
15717 126th Pl NE,1329
12662 60th Ave S,1330
1527 39th Ave E,1331
Trossachs Blvd SE,1332
3825 NE 87th St,1333
11540 NE 91st St,1334
10413 SE 25th St,1335
2317 N 147th St,1336
16727 163rd Pl SE,1337
7741 29th Ave NW,1338
6875 SE 33rd St,1339
311 Dereks Pl,1340
516 16th Ave E,1341
26222 142nd Ave SE,1342
440 Scenic Way,1343
1626 S Bennett St,1344
14323 73rd Ave NE,1345
5201 NE 11th Ct,1346
6123 37th Ave NW,1347
1531 NE 172nd St,1348
2441-2499 Crane Dr W,1349
6559 42nd Ave NE,1350
2113 41st Ave SW,1351
7550 14th Avenue Northeast,1352
15816 NE 195th St,1353
31617 6th Ave SW,1354
26526 111th Pl SE,1355
1532 McGilvra Blvd E,1356
5022 Private Rd,1357
1805 154th Ave SE,1358
10719 47th Ave S,1359
8605 NE 137th St,1360
20208 1st Pl S,1361
28312 NE 138th Pl,1362
4646 88th Ave SE,1363
10161 134th Pl NE,1364
729 Martin Luther King Jr Way S,1365
14216-14228 117th Ave NE,1366
8127 22nd Ave SW,1367
15918 NE 113th Ct,1368
20234 20th Ave NE,1369
3824 35th Ave SW,1370
6231 Lake Washington Blvd SE,1371
23744 NE 116th Pl,1372
1906 11th Ave W,1373
323 25th Ave S,1374
1035 Duvall Pl NE,1375
20020 127th Pl SE,1376
1256 SW 146th St,1377
3041 37th Ave W,1378
5230 S Rose St,1379
17780 13th Ave NW,1380
1950 NW Goode Pl,1381
3227 Whalley Pl W,1382
15345 Stone Ave N,1383
3118 264th Ave NE,1384
7725 NE 143rd St,1385
12037 6th Ave NW,1386
16423 126th Pl SE,1387
10424 2nd Ave S,1388
1414 235th Pl SE,1389
3728 246th Ave SE,1390
16828 SE 251 St,1391
7000 Autumn Ave SE,1392
3601-3733 Greenbrier Ln,1393
24506 SE 276th Ct,1394
10207 37th Ave SW,1395
807 N 42nd St,1396
8221 21st Ave NE,1397
4103 37th Ave SW,1398
4111 1st Ave NW,1399
17101-17103 SE 383rd St,1400
13436 Occidental Ave S,1401
19132 Beall Rd SW,1402
6601-6699 28th Ave NW,1403
14009 NE 85th Ct,1404
6402-6412 105th Ave NE,1405
12108 NE 106th Pl,1406
2150 S 262nd Ct,1407
7906 6th Ave NW,1408
3825 S Angeline St,1409
6310 Fairway Pl SE,1410
3617 NE 12th St,1411
Shangri-La Way NW,1412
3933 S Brandon St,1413
8308 NE 176th Pl,1414
6056 156th Ave NE,1415
2496-2598 S 121st St,1416
24927 NE 108th St,1417
18808 215th Way NE,1418
35039 41st Pl S,1419
2940 72nd Ave SE,1420
7343 NE 150th St,1421
3022 254th Ave SE,1422
3212 E Terrace St,1423
7708 16th Ave NE,1424
16708 N Park Ave N,1425
333 NW 84th St,1426
36721 34th Ave S,1427
6825 48th Ave NE,1428
5726 61st Ave NE,1429
11004 NE 108th St,1430
5840 16th Ave S,1431
318 E Mercer St,1432
4205 S 288th Pl,1433
6730 SE 5th St,1434
3920 42nd Ave SW,1435
4001 42nd Ave S,1436
2615 109th Pl NE,1437
125 N Bowdoin Pl,1438
23039 NE 130th St,1439
8408 20th Ave SW,1440
11131 NE 162nd St,1441
18401 124th Ave SE,1442
30410 128th Pl SE,1443
11022 SE 319th Ct,1444
1345 232nd Pl NE,1445
4228 249th Ct SE,1446
15803 197th Pl NE,1447
714 145th Ave SE,1448
127 Chicago Blvd S,1449
8516 Linden Ave N,1450
225 246th Ct NE,1451
14217 SE 144th St,1452
921 4th Ave N,1453
27209 110th Ave SE,1454
34711 5th Ave SW,1455
29211 7th Pl S,1456
5923 Beach Dr SW,1457
508 D St SE,1458
6736 40th Ave SW,1459
20303 SE 40th St,1460
3115 S Norman St,1461
2003 NE 117th St,1462
4911 NE 65th St,1463
13507 62nd Ave NE,1464
3228 36th Ave W,1465
3627 48th Ave SW,1466
26272 142nd Ave SE,1467
10637 SE 29th St,1468
1917 3rd Ave W,1469
4031 W Ames Lake Dr NE,1470
14007 35th Ave NE,1471
20525 NE 26th St,1472
1224 N 27th Pl,1473
12501 SE 4th Pl,1474
5021 Fauntleroy Way SW,1475
17458 SE 262nd St,1476
4038 Linden Ave N,1477
10020 18th Ave SW,1478
4235 SW 337th Pl,1479
1309 SW Webster St,1480
1903 32nd Ave S,1481
7220 NE 152nd Pl,1482
2739 31st Ave S,1483
8520 19th Ave NW,1484
7006 35th Ave NW,1485
21438 SE 277th St,1486
2544 NE 203rd St,1487
22775 SE 242nd Pl,1488
20206-20212 108th Ave SE,1489
8026 38th Ave NE,1490
31118 149th Ave SE,1491
1210 22nd Ave E,1492
13332 30th Ave NE,1493
21860 Military Rd S,1494
5036 36th Ave NE,1495
3648 Francis Ave N,1496
12977 NE 201st St,1497
11526 NE 116th St,1498
36231 SE Isley St,1499
10631 Forest Ave S,1500
1033 S 316th St,1501
4621 SW 327th Pl,1502
28412 SE 43rd St,1503
312 S 328th Ln,1504
16084 SE 172nd Pl,1505
1518 150th Ave SE,1506
8351 Jones Ave NW,1507
1829 N 55th St,1508
6818 Pinehurst Ave SE,1509
5700-5798 SW Hinds St,1510
19296-19336 102nd Ave SE,1511
11814 167th Pl NE,1512
33415 41st Ave SW,1513
4801-4999 229th Ave SE,1514
1505 S Plum St,1515
1215 N 50th St,1516
19311 59th Pl NE,1517
34434 30th Ave SW,1518
806 S 295th Pl,1519
17904 Military Rd S,1520
2525 276th Ct NE,1521
501 NE Ravenna Blvd,1522
2043 NE 98th St,1523
2150 N 128th St,1524
14435 SE 263rd St,1525
25919 SE 37th Way,1526
32119 199th Ave SE,1527
1118 235th Pl NE,1528
10804 SE 218th St,1529
17018 124th Ave SE,1530
18923 SE 416th St,1531
811 W Bertona St,1532
14056 31st Ave S,1533
3028 NW 68th St,1534
1404 Broadmoor Dr E,1535
3249 E Ames Lake Dr NE,1536
6032 35th Ave NE,1537
1006 NE Ravenna Blvd,1538
10515 Ashworth Ave N,1539
32740-32998 30th Ave SW,1540
308 NW 67th St,1541
6019 210th Ave NE,1542
723 N 105th St,1543
14904 133rd Ave SE,1544
465 129th Pl NE,1545
12001 Bartlett Ave NE,1546
8507 146th Pl SE,1547
2503 SW Portland Ct,1548
7728 11th Ave NW,1549
3109 SE 17th Ct,1550
8215 8th Ave S,1551
20210 78th Pl NE,1552
4518 SE 4th St,1553
4531 SW Webster St,1554
10414 NE 131st St,1555
6517 Dibble Ave NW,1556
4118 35th Ave SW,1557
2348 Fairview Ave E,1558
5243 Forest Ave SE,1559
11221 Palatine Ave N,1560
4815 SW 330th Ct,1561
27831 NE 153rd Pl,1562
3239 78th Pl NE,1563
7606 116th Ave SE,1564
7221 NE 156th St,1565
3713 SW Sullivan St,1566
28624 6th Pl S,1567
2000 30th Ave S,1568
8205 20th Ave NE,1569
233 111th Ave SE,1570
21409 SE 215th St,1571
22615 SE 14th Pl,1572
17012 SE 47th Way,1573
9719 130th Ave NE,1574
530 Olympia Ave SE,1575
2611 1st Ave N,1576
3218 S 148th St,1577
8830 McIntosh Ct SE,1578
14440 51st Ave S,1579
8750 Fauntlee Crest SW,1580
1626 S 245th Pl,1581
34303 Elm Ave SE,1582
2471 S 116th Way,1583
7534 24th Ave NW,1584
1949-1953 9th Ave W,1585
1915 E Marion St,1586
4651 175th Ave SE,1587
24923 161st Pl SE,1588
16241 19th Ave SW,1589
130 Main St,1590
927 N 79th St,1591
9415 NE 27th St,1592
8102 7th Ave SW,1593
4600-4748 136th Ave SE,1594
15637 156th Pl SE,1595
319 25th Ave E,1596
8430 8th Ave SW,1597
30924 36th Ave SW,1598
27523-27527 43rd Ave S,1599
10718 Exeter Ave NE,1600
10326 Fischer Pl NE,1601
4832 38th Ave SW,1602
13283 228th Pl NE,1603
3621 45th Ave W,1604
8216 Linden Ave N,1605
12629 468th Ave SE,1606
2834 220th Pl NE,1607
4730 162nd Ct SE,1608
3832 43rd Ave NE,1609
9631 NE 198th St,1610
4346 28th Ave S,1611
7556 NE 203rd St,1612
10605 9th Ave NW,1613
7615 E Mercer Way,1614
15812 182nd Ave NE,1615
13807 129th Pl NE,1616
5452 31st Ave SW,1617
23438 NE 29th Pl,1618
3209 63rd Ave SW,1619
24709 13th Ave S,1620
2526 104th Ave SE,1621
15616 173rd Ave NE,1622
1714 NE Brockman Pl,1623
8611 32nd Ave SW,1624
10012 SE 244th Ct,1625
4525 119th Ave SE,1626
6820 39th Ave NE,1627
8551 SE 80th St,1628
3222 78th Pl NE,1629
3112 21st Ave S,1630
10060 SW Dock St,1631
3849 Cascadia Ave S,1632
3964 262nd Ave SE,1633
527 S Donovan St,1634
6723 17th Ave NW,1635
13527 231st Pl SE,1636
3304 288th Ave NE,1637
2202 238th Ave SE,1638
9670 41st Ave S,1639
12449 94th Ave NE,1640
1107 SE 10th St,1641
2822 NW 74th St,1642
21311 SE 20th St,1643
23022 NE 21st St,1644
Valley View Trail,1645
2826 Access Rd,1646
13013 NE 202nd Pl,1647
601 22nd Ave,1648
9607 NE 128th St,1649
23042 16th Ave S,1650
1905 33rd Ave S,1651
20850 NE 26th Pl,1652
17200 SE 29th Ct,1653
4356 SW Concord St,1654
1715 NE 135th St,1655
4915 17th Ave S,1656
18960 131st Pl NE,1657
2802 SW Bataan St,1658
4825 27th Ave S,1659
4532 13th Ave S,1660
1911 E Columbia St,1661
4131 SW Kenyon St,1662
31103 SE 85th Pl,1663
25480 SE 275th Pl,1664
4055 238th Pl SE,1665
7325 86th Ave SE,1666
24031 SE 262nd Pl,1667
2439 Piedmont Pl W,1668
6215 30th Ave NW,1669
1024 Washington Pl E,1670
2000-2098 NE 68th St,1671
4426 38th Ave SW,1672
9900 SW Quartermaster Dr,1673
667 237th Pl SE,1674
31456 117th Pl SE,1675
4511 S 262nd St,1676
7704 Heather Ave SE,1677
13428 NE 12th Pl,1678
11727 9th Ave NW,1679
2110 216th Pl NE,1680
2523-2533 103rd Ave SE,1681
2172 NE Noble St,1682
8059 Loyal Way NW,1683
4150 244th Pl SE,1684
1218 19th Ave E,1685
12216 Greenwood Ave N,1686
14151 174th Pl NE,1687
1840-1846 9th St W,1688
9552 Phinney Ave N,1689
4131 51st Ave S,1690
10090 177th Ave NE,1691
20312 102nd Pl SE,1692
12599 NE 39th St,1693
1808 38th Ave E,1694
5047 43rd Ave S,1695
2023 NE 175th St,1696
15048 NE 11th Pl,1697
3635 41st Ave W,1698
8835 NE 138th St,1699
25420 157th Ave SE,1700
20604 SE 24th St,1701
7820 Ashworth Ave N,1702
560 SW Fernwood St,1703
19311 47th Ave NE,1704
4501-4507 186th Ave SE,1705
11366 SE 298th Pl,1706
7311 Silent Creek Ave SE,1707
5003 E Mercer Way,1708
15017 253rd Ave SE,1709
29910-29918 21st Ave S,1710
15524 SE 9th St,1711
29234 158th Ave SE,1712
28808 SE Mud Mountain Rd,1713
10238 65th Ave S,1714
5619 S 149th St,1715
5307-5311 Quincy Ave SE,1716
9219 Stone Ave N,1717
11406 Nile Ave NE,1718
431 26th Ave E,1719
2711 NE 75th St,1720
2722 30th Ave S,1721
7302 127th Pl SE,1722
Schmitz Park to Alki Trail,1723
23216 NE 126th St,1724
10629 161st Avenue Northeast,1725
2134 NW Boulder Way Dr,1726
24032 SE 263rd Pl,1727
1108 29th Ave S,1728
942 27th Ave,1729
23915 135th Pl SE,1730
1417 26th Ave,1731
2015 42nd Ave E,1732
2418 10th Ave W,1733
2202 NE 83rd St,1734
5918 128th Ave SE,1735
6209 40th Ave NE,1736
33316 E Lake Holm Dr SE,1737
29245 188 Ave SE,1738
1165 SW 12th St,1739
26825 33rd Ave S,1740
18649 22nd Pl NE,1741
2508 NE 7th St,1742
8520 169th Ct NE,1743
115 W Raye St,1744
454 S 190th St,1745
2862 S 354th Ln,1746
10414 SE 24th Pl,1747
12575 Corliss Ave N,1748
4822 48th Ave SW,1749
3110 E Jefferson St,1750
20337 156th Ave NE,1751
14212 SE 92nd St,1752
13009 230th Ave SE,1753
20122 Richmond Beach Dr NW,1754
27369 245th Ave SE,1755
4325 NE 43rd St,1756
2416 70th Ave SE,1757
3934 S Hudson St,1758
13516 164th Ave SE,1759
24716 142nd Ave SE,1760
819 31st Ave,1761
2925 Morris Ave S,1762
2402 Delmar Dr E,1763
11405 26th Ave SW,1764
3644 Manchester Way,1765
5403 34th Ave SW,1766
808 NE 117th St,1767
19218 189th Pl NE,1768
12610 NE 142nd St,1769
1904 S 259th St,1770
43105 SE 149th St,1771
8250 Ashworth Ave N,1772
18223 129th Pl NE,1773
9014 Ravenna Ave NE,1774
14712 SE 105th Pl,1775
12522 SE 105th St,1776
16633 Westside Hwy SW,1777
4331 5th Ave NW,1778
12020 SE 76th St,1779
35317 SE Ridge St,1780
17041 128th Pl NE,1781
8359 NE Juanita Dr,1782
2929 200th Ave SE,1783
929 N 88th St,1784
21548 SE 28th Ln,1785
15703 NE 113th Ct,1786
5054 NE 23rd St,1787
10559 NE 150th Ct,1788
2830 216th Ave SE,1789
15105 262nd Ave SE,1790
26510 134th Ave SE,1791
507 Janet Ave NE,1792
6110 123rd Ave NE,1793
1813 177th Ave NE,1794
13003 13th Ave NW,1795
805 30th Ave,1796
35014 19th Ave SW,1797
506 Wells Ave N,1798
19534 34th Ave NE,1799
510 N 70th St,1800
2017 NW 59th St,1801
24146 SE 45th Pl,1802
31207 22nd Ave SW,1803
4510 89th Ave SE,1804
11048 21st Ave SW,1805
20214 8th Ave S,1806
4071 S 128th St,1807
15226 SE 1st Pl,1808
4760 47th Ave NE,1809
829 S 310th Pl,1810
124 Mt Vista Pl SW,1811
14806 279th Ln NE,1812
33015 4th Pl S,1813
12048 Standring Ct SW,1814
24035 NE Adair Rd,1815
14608 SE 195th Pl,1816
27433-27475 211th Ct SE,1817
9423 Ash Ave SE,1818
8018 NE 183rd St,1819
897 SE 11th St,1820
38071 39th Ave S,1821
5201 23rd Ave SW,1822
10111 32nd Pl SW,1823
8314 361st Ave NE,1824
6609 43rd Ave S,1825
1219 S 124th St,1826
16710 133rd Pl SE,1827
8726 NE 11th St,1828
12923 206th Ct SE,1829
20442 137th Ave SE,1830
3510 S Holly St,1831
14000 SE 241st St,1832
13315 88th Ave S,1833
3057 70th Ave SE,1834
31607 45th Pl SW,1835
13800 SE 43rd St,1836
9007 4th Ave NW,1837
21924 234th Ave SE,1838
4612 92nd Ave NE,1839
2825 W Elmore Pl,1840
25756 SE 41st St,1841
15929 Broadway Ave NE,1842
35632 52nd Ave S,1843
1641 S 124th St,1844
9702 12th Ave NW,1845
1348 SW 175th St,1846
11511 159th Ave NE,1847
14800 Kennedy Pl NE,1848
309 W Prospect St,1849
1317 5th Ln,1850
15035-15041 SE Fairwood Blvd,1851
3021-1/2 SW Harbor Ln,1852
10009 SE 247th Pl,1853
18917 72nd Ct NE,1854
32110 12th Pl SW,1855
32955-32977 33rd Ave SW,1856
18202 Dayton Ave N,1857
2915 NW 75th St,1858
2511 NE 65th St,1859
10340 38th Ave NE,1860
15243 6th Ave NE,1861
527 171st Pl NE,1862
4117 Bagley Ave N,1863
4435 140th Ave SE,1864
19304 65th Ave NE,1865
16930 SE 144th St,1866
2317-2399 185th Pl NE,1867
15346-15348 25th Ave NE,1868
1223 269th Ave SE,1869
15901-15999 131st Pl SE,1870
4615 158th Ave SE,1871
2709 NE 22nd St,1872
3764 79th Ave SE,1873
10406 126th Ave NE,1874
8203 120th Pl SE,1875
18119 NE 30th St,1876
3100-3198 S Byron St,1877
2142 N 90th St,1878
2006 S 257th St,1879
10916 159th Ave NE,1880
2537 13th Ave W,1881
6018 41st Ave SW,1882
2647 22nd Ave W,1883
2811 Mill Ave S,1884
17801 NE 102nd Ct,1885
42321 SE 171st St,1886
8309 30th Ave NW,1887
18630 NE 202nd St,1888
14583 NE 58th St,1889
SE 170th Pl,1890
10510 172nd Ct SE,1891
13727 1st Ave NE,1892
3030 SW 346th Pl,1893
4902 12th Ave S,1894
720 N 193rd Pl,1895
13712 SE 256th Pl,1896
9110 25th Ave NE,1897
14426-14598 42nd Ave S,1898
20609 SE 271st St,1899
18309 17th Pl NW,1900
4541 11th Ave S,1901
1820 E Howell St,1902
11812 33rd Ave NE,1903
625 8th Ave,1904
1916 Harrington Cir NE,1905
11055 SE 295th St,1906
7874 148th Ct NE,1907
14324 250th Pl SE,1908
18718 56th Ave NE,1909
157 Pike St NE,1910
36011 SE Kendall Peak St,1911
9311 Nye Ave SE,1912
1464 NW 95th St,1913
6820 Pinehurst Ave SE,1914
3840 Evanston Ave N,1915
886 3rd Ave NE,1916
514 N 46th St,1917
8236 NE 115th Way,1918
2640 S 227th Pl,1919
7546 NE 204th Pl,1920
6609 117th Ave SE,1921
6509 10th Ave NW,1922
12035-12225 61st Ave S,1923
5422 46th Ave SW,1924
25510 SE 159th St,1925
21212 Occidental Ave S,1926
1727 Lake Washington Blvd S,1927
5421-5499 52nd Terrace S,1928
6057-6061 50th Ave SW,1929
908 SW Austin St,1930
12807 SE 67th St,1931
747 16th Ave E,1932
5424 298th Ave SE,1933
20555 NE 27th Pl,1934
22840 SE 269th St,1935
18230 NE 146th Way,1936
5954 24th Ave S,1937
136 128th Ave SE,1938
12921 231st Ave SE,1939
2306 Halleck Ave SW,1940
6766 Cascade Ave SE,1941
27852 31st Pl S,1942
2352 SW 338th St,1943
30929 NE Cherry Valley Rd,1944
2707 Queen Anne Ave N,1945
12621 SE 222nd Pl,1946
710 Victor St,1947
450 NE Birch St,1948
16723 Corliss Pl N,1949
4707 88th Ave SE,1950
12124 268th Dr NE,1951
1301 141st Pl NE,1952
37540 32nd Pl S,1953
1410 SW 10th St,1954
17732 199th Pl NE,1955
7529 Bagley Ave N,1956
14633 200th Ave SE,1957
3005 177th Ave NE,1958
2955 36th Ave S,1959
7538 Roosevelt Way NE,1960
7550 19th Ave NW,1961
2522 230th Ave NE,1962
1404-1418 100th Ave NE,1963
26300 127th Ave SE,1964
5811 116th Ave NE,1965
6194-6470 E Mercer Way,1966
5968 44th Ave S,1967
36255 52nd Ave S,1968
10427 18th Ave S,1969
24844 SE Mirrormont Pl,1970
26508 NE Kennedy Dr,1971
8054 Brooklyn Ave NE,1972
10746 38th Ave NE,1973
5608 Elizabeth Loop SE,1974
3427 33rd Ave W,1975
17026 124th Ave SE,1976
16034 SE 47th Ln,1977
2829 SW 342nd Pl,1978
13405 5th Ave SW,1979
4404 SW 101st St,1980
18504 38th Ave S,1981
13205 39th Ave NE,1982
28635 226th Ave SE,1983
13228 SE 294th Pl,1984
9432 25th Ave SW,1985
12519 SE 236th Pl,1986
19215 58th Ave NE,1987
25025 234th Pl SE,1988
2825 W Jameson St,1989
1926 E Lynn St,1990
13135 NE 139th St,1991
28129 237th Ave SE,1992
6324 160th Pl SE,1993
20147 SE 152nd St,1994
2723 55th St SE,1995
5314 NE 17th Pl,1996
2716 E Yesler Way,1997
2027 Eastlake Ave E,1998
4022 S Bozeman St,1999
8132 Wolcott Ave S,2000
8708 12th Ave NW,2001
9014 34th Ave SW,2002
32624 39th Pl SW,2003
3958 S Lucile St,2004
3738 SW Ida St,2005
32901 SE 43rd St,2006
9106 5th Ave NE,2007
6810 31st Ave NE,2008
15505 180 Ave NE,2009
18975 Marine View Dr SW,2010
3715 NE 153rd St,2011
22728 10th Ave S,2012
2604 S 357th St,2013
6935 142nd Ct NE,2014
4967 165th Pl SE,2015
3004 NW 59th St,2016
1645 30th Ave NE,2017
2244 West Lake Sammamish Pkwy NE,2018
1920 224th Pl NE,2019
19011 SE 283rd St,2020
7517 128th Pl NE,2021
12806 NE 141st Ct,2022
1718 44th Ave SW,2023
34033 39th Ave S,2024
802 NE 80th St,2025
12519 SE 15th St,2026
6827 36th Ave NW,2027
17019 193rd Ave SE,2028
